"","(Intercept)","Escolaridad","Num_Pers_Hogar","Sala_Mens_Antes","Sala_Mens_Desp","BIC","R^2","df","logLik","AICc","delta","weight"
"14","13.192","-0.303","   NA"," 0.460","-0.601","6730.316","0.011","5","-3347.886","6705.832","0.000","0.188"
"13","12.402","    NA","   NA"," 0.438","-0.640","6726.027","0.008","4","-3349.196","6706.432","0.600","0.139"
"10","13.305","-0.287","   NA","    NA","-0.172","6726.276","0.008","4","-3349.321","6706.681","0.849","0.123"
"9","12.549","    NA","   NA","    NA","-0.229","6721.716","0.006","3","-3350.495","6707.014","1.182","0.104"
"2","13.026","-0.400","   NA","    NA","    NA","6722.145","0.005","3","-3350.709","6707.443","1.611","0.084"
"16","13.072","-0.301","0.041"," 0.456","-0.600","6737.170","0.011","6","-3347.859","6707.802","1.970","0.070"
"15","12.260","    NA","0.050"," 0.433","-0.639","6732.856","0.008","5","-3349.156","6708.373","2.541","0.053"
"12","13.133","-0.285","0.058","    NA","-0.176","6733.077","0.008","5","-3349.266","6708.593","2.761","0.047"
"6","13.189","-0.340","   NA","-0.093","    NA","6728.231","0.006","4","-3350.298","6708.636","2.804","0.046"
"11","12.361","    NA","0.066","    NA","-0.233","6728.488","0.006","4","-3350.426","6708.893","3.061","0.041"
"4","12.956","-0.400","0.023","    NA","    NA","6729.037","0.005","4","-3350.701","6709.442","3.610","0.031"
"5","12.295","    NA","   NA","-0.159","    NA","6724.628","0.003","3","-3351.951","6709.926","4.094","0.024"
"8","13.059","-0.338","0.045","-0.096","    NA","6735.077","0.006","5","-3350.267","6710.594","4.761","0.017"
"1","11.661","    NA","   NA","    NA","    NA","6720.484","0.000","2","-3353.333","6710.678","4.846","0.017"
"7","12.141","    NA","0.055","-0.163","    NA","6731.443","0.003","4","-3351.904","6711.848","6.016","0.009"
"3","11.612","    NA","0.016","    NA","    NA","6727.385","0.000","3","-3353.329","6712.682","6.850","0.006"
